種類,L1,L2,L3,L4,L1/L2,L4/L1
シハイスミレ,31.7,21.5,25.2,6.6,1.48,0.207
シハイスミレ,33,23.3,28.6,4.4,1.42,0.133
シハイスミレ,33,20.8,27,6,1.59,0.182
シハイスミレ,37.9,21.5,29.8,8.1,1.76,0.214
シハイスミレ,44.5,22.1,31.3,13.2,2.01,0.297
シハイスミレ,23.1,14.4,16.8,6.4,1.6,0.275
シハイスミレ,20.9,12.5,16,4.8,1.67,0.231
シハイスミレ,24.6,13.8,19.5,5.1,1.78,0.208
シハイスミレ,21.9,13.2,15.8,6.1,1.67,0.279
シハイスミレ,26.9,14.3,21.2,5.7,1.88,0.212
シハイスミレ,26.1,18.6,17.8,8.4,1.41,0.32
シハイスミレ,33.3,20.7,23.6,9.7,1.6,0.291
シハイスミレ,22.1,16.7,14.4,7.7,1.32,0.349
シハイスミレ,34.1,21.5,23.4,10.6,1.58,0.312
シハイスミレ,24.8,14.6,19.5,5.3,1.71,0.214
シハイスミレ,35.7,18.1,25.2,10.5,1.97,0.293
シハイスミレ,32.5,15.6,24,8.5,2.08,0.261
シハイスミレ,36.6,17.6,28,8.6,2.07,0.234
シハイスミレ,35.1,24,25.6,9.5,1.47,0.269
シハイスミレ,22.9,9.7,19.2,3.8,2.36,0.164
シハイスミレ,35.3,23.1,25.5,9.8,1.52,0.277
シハイスミレ,25.3,18.8,20.9,4.5,1.35,0.177
シハイスミレ,39.2,23.8,31.4,7.8,1.65,0.199
シハイスミレ,42.1,31.1,29.1,13,1.35,0.31
シハイスミレ,49,28.4,34.9,14.1,1.72,0.289
シハイスミレ,53.7,37.4,38.1,15.6,1.43,0.291
シハイスミレ,59.1,31.5,45.7,13.3,1.87,0.226
シハイスミレ,63.5,34.1,49.3,14.2,1.86,0.224
シハイスミレ,22.8,13.4,17.3,5.5,1.71,0.241
シハイスミレ,31.8,18.1,24,7.8,1.76,0.245
シハイスミレ,28.9,14.7,22.8,6.2,1.96,0.213
シハイスミレ,29.9,14.3,24,5.9,2.09,0.197
シハイスミレ,25.7,13,19.8,5.9,1.98,0.231
シハイスミレ,29.7,19.7,24,5.7,1.5,0.192
シハイスミレ,30.8,15.5,23.8,7,1.99,0.228
シハイスミレ,35,15,26.1,8.9,2.33,0.254
シハイスミレ,43.3,19,33.8,9.5,2.28,0.22
シハイスミレ,42.2,19.6,32.5,9.7,2.15,0.229
ハリママキノスミレ,48.6,24.8,34.2,14.4,1.96,0.296
ハリママキノスミレ,60.6,26.9,43.1,17.5,2.25,0.289
ハリママキノスミレ,20.4,11.8,15.4,5,1.73,0.245
ハリママキノスミレ,25.8,14.4,20.1,5.7,1.79,0.221
ハリママキノスミレ,33,14.5,26.9,6.1,2.28,0.185
ハリママキノスミレ,37.4,17.8,30.2,7.2,2.1,0.193
ハリママキノスミレ,46.7,21.1,34.3,12.4,2.21,0.266
ハリママキノスミレ,49.8,24.4,40.4,9.4,2.04,0.189
ハリママキノスミレ,36.9,21.2,29.3,7.6,1.74,0.206
ハリママキノスミレ,38.6,19.7,27.8,10.8,1.96,0.28
ハリママキノスミレ,45,20.2,38,7,2.23,0.156
ハリママキノスミレ,45.8,20.8,34.2,11.6,2.2,0.253
ハリママキノスミレ,48.1,19.8,38.1,10,2.43,0.208
ハリママキノスミレ,51.7,24,36.2,15.5,2.15,0.3
ハリママキノスミレ,50.1,22.2,37.1,13,2.26,0.259
ハリママキノスミレ,54,29.1,39,15,1.86,0.278
ハリママキノスミレ,47.3,20.9,37.3,10,2.26,0.211
ハリママキノスミレ,50.9,23.2,37.7,13.2,2.19,0.259
ハリママキノスミレ,50,25.8,38,12,1.94,0.24
ハリママキノスミレ,53.5,22.6,40,13.5,2.37,0.252
ハリママキノスミレ,52.2,23.8,41.2,11,2.19,0.211
ハリママキノスミレ,60.5,30.1,45.5,15,2.01,0.248
ハリママキノスミレ,70.9,26.2,57.1,13.8,2.71,0.195
ハリママキノスミレ,40.8,22.3,32.7,8.1,1.83,0.199
ハリママキノスミレ,58,29.2,46.6,11.4,1.99,0.197
ハリママキノスミレ,67.9,25.2,56.1,11.8,2.69,0.174
ハリママキノスミレ,68.3,28.2,56.9,11.4,2.42,0.167
ハリママキノスミレ,69,25.1,59,10,2.75,0.145
ハリママキノスミレ,59,30.1,48.2,10.8,1.96,0.183
ハリママキノスミレ,69,28,55.1,13.9,2.46,0.201
ハリママキノスミレ,51,21.9,42.8,8.2,2.33,0.161
ハリママキノスミレ,58.3,30.7,43.3,15,1.9,0.257
ハリママキノスミレ,60.3,29.9,45.8,14.5,2.02,0.24
ハリママキノスミレ,58.2,29.2,43.3,14.9,1.99,0.256
ハリママキノスミレ,66.1,27.4,55.1,11,2.41,0.166
ハリママキノスミレ,63.2,35.3,48.2,15,1.79,0.237
ハリママキノスミレ,69.7,32.9,56.3,13.4,2.12,0.192
ハリママキノスミレ,70.1,34.1,54.8,15.3,2.06,0.218
ハリママキノスミレ,81,39.3,63.1,17.9,2.06,0.221
ハリママキノスミレ,80.8,40.8,60,20.8,1.98,0.257
ハリママキノスミレ,82.8,37.7,63.9,18.9,2.2,0.228
ハリママキノスミレ,85.1,33.7,66.6,18.5,2.53,0.217
ハリママキノスミレ,92,40.1,70,22,2.29,0.239
ハリママキノスミレ,99.7,42.9,76.5,23.2,2.32,0.233
ハリママキノスミレ,48,24.1,32.1,5.9,1.99,0.123
ハリママキノスミレ,51.3,23.3,38.8,12.5,2.2,0.244
ハリママキノスミレ,51.9,24.4,38.5,13.4,2.13,0.258
ハリママキノスミレ,59,25.1,41.1,17.9,2.35,0.303
ハリママキノスミレ,63.2,29.3,48.1,15.1,2.16,0.239
ハリママキノスミレ,66.9,29.2,51.3,15.6,2.29,0.233
ハリママキノスミレ,71.8,32.3,55.5,16.3,2.22,0.227
ハリママキノスミレ,76,31.8,55.3,20.7,2.39,0.272
ハリママキノスミレ,39.8,20.4,30.2,9.6,1.95,0.241
ハリママキノスミレ,42,20,31.2,10.8,2.1,0.257
ハリママキノスミレ,40.8,19.6,30.6,10.2,2.08,0.25
ハリママキノスミレ,42.3,20,32.2,10.1,2.12,0.239
ハリママキノスミレ,44.4,21.9,35,9.4,2.03,0.212
ハリママキノスミレ,45.1,22,34.5,10.6,2.05,0.235
ハリママキノスミレ,46.3,22.3,35.4,10.9,2.08,0.235
ハリママキノスミレ,51,23,40.5,10.5,2.22,0.206
ハリママキノスミレ,53.2,26.3,35.1,18.1,2.02,0.34
ハリママキノスミレ,54.7,29,39,15.7,1.89,0.287
ハリママキノスミレ,58,27.5,43,15,2.11,0.259
ハリママキノスミレ,56,28.7,41.7,14.3,1.95,0.255
ハリママキノスミレ,58,26,42.9,15.1,2.23,0.26
ハリママキノスミレ,60.5,28.5,47.8,12.7,2.12,0.21
ハリママキノスミレ,64,30,49,15,2.13,0.234
ハリママキノスミレ,68.8,26.8,51,17.8,2.57,0.259
ハリママキノスミレ,67.4,34,48.8,18.6,1.98,0.276
ハリママキノスミレ,70.7,34.3,65.2,5.5,2.06,0.078
ハリママキノスミレ,43.2,18.7,34.8,8.4,2.31,0.194
ハリママキノスミレ,54,28.7,38,16,1.88,0.296
ハリママキノスミレ,55,24,43,12,2.29,0.218
ハリママキノスミレ,58.9,21.9,45,13.9,2.69,0.236
ハリママキノスミレ,47.4,21.5,38.9,8.5,2.2,0.179
ハリママキノスミレ,47.5,17.2,37.8,9.7,2.76,0.204
ハリママキノスミレ,49.4,17.5,40.4,9,2.82,0.182
ハリママキノスミレ,57.9,25.1,44.4,13.5,2.31,0.233
ハリママキノスミレ,32.8,15.2,24.1,8.7,2.16,0.265
ハリママキノスミレ,36.5,19.5,28.3,8.2,1.87,0.225
ハリママキノスミレ,40.8,17,30.9,9.9,2.4,0.243
ハリママキノスミレ,43,17.2,33,10,2.5,0.233
ハリママキノスミレ,40.9,20,30.2,10.7,2.05,0.262
ハリママキノスミレ,47,20.3,31,16,2.32,0.34
ハリママキノスミレ,43.5,17,33.4,10.1,2.56,0.232
ハリママキノスミレ,44.2,18.4,34.1,10.1,2.4,0.229
ハリママキノスミレ,54.1,23.1,44.1,10,2.34,0.185
ハリママキノスミレ,41,20.8,28,13,1.97,0.317
ハリママキノスミレ,40,23.4,29,11,1.71,0.275
ハリママキノスミレ,48.1,28,35,13.1,1.72,0.272
ハリママキノスミレ,50.3,19.4,35,15.3,2.59,0.304
ハリママキノスミレ,50.1,23.8,35.3,14.8,2.11,0.295
ハリママキノスミレ,48,26,36.5,11.5,1.85,0.24
ハリママキノスミレ,49,24.7,36,13,1.98,0.265
ハリママキノスミレ,50.2,24.8,41.2,9,2.02,0.179
ハリママキノスミレ,50.3,28.9,37.5,12.8,1.74,0.254
ハリママキノスミレ,59.2,26,47.3,11.9,2.28,0.201
ハリママキノスミレ,61,25.6,49,12,2.38,0.197
ハリママキノスミレ,62,32.4,51.8,10.2,1.91,0.165
ハリママキノスミレ,63.1,28.1,54,9.1,2.25,0.144
ハリママキノスミレ,67,29,51.3,15.7,2.31,0.234
ハリママキノスミレ,67.3,36,50.8,16.5,1.87,0.245
ハリママキノスミレ,71.8,32,52.9,18.9,2.24,0.263
ハリママキノスミレ,80,34.6,65.7,14.3,2.31,0.179
ハリママキノスミレ,26.2,15.8,18.4,7.8,1.66,0.298
ハリママキノスミレ,29.9,20,21.2,8.7,1.5,0.291
ハリママキノスミレ,34.1,21,24.4,9.7,1.62,0.284
ハリママキノスミレ,43.2,21.1,27.2,16,2.05,0.37
ハリママキノスミレ,47.9,21,40.5,7.4,2.28,0.154
ハリママキノスミレ,53.8,25.8,40.7,13.1,2.09,0.243
ハリママキノスミレ,69.7,30.3,57.9,11.8,2.3,0.169
ハリママキノスミレ,74.1,36.5,59.5,14.6,2.03,0.197
ハリママキノスミレ,86,43.9,72,14,1.96,0.163
ハリママキノスミレ,93.2,48,73,20.2,1.94,0.217
ハリママキノスミレ,23.7,17.2,16.1,7.6,1.38,0.321
ハリママキノスミレ,31.8,15.9,22.9,8.9,2,0.28
ハリママキノスミレ,38.1,21.4,26.6,11.5,1.78,0.302
ハリママキノスミレ,51.3,24.8,35.1,16.2,2.07,0.316
ハリママキノスミレ,65.4,29,48.3,17.1,2.26,0.261
ハリママキノスミレ,70,30.7,49.9,20.1,2.28,0.287
ハリママキノスミレ,74.4,36.1,56.9,17.5,2.06,0.235
ハリママキノスミレ,38.5,25,26.8,11.7,1.54,0.304
ハリママキノスミレ,37,22.7,29.3,7.7,1.63,0.208
ハリママキノスミレ,36.9,26,27.9,9,1.42,0.244
ハリママキノスミレ,44,21.1,31.8,12.2,2.09,0.277
ハリママキノスミレ,51,30.2,38.1,12.9,1.69,0.253
ハリママキノスミレ,48.8,28.2,40,8.8,1.73,0.18
