種類,L1,L2,L3,L4,L1/L2,L4/L1
マキノスミレ,31.7,16.8,23.6,8.1,1.89,0.256
マキノスミレ,33.4,20,26.5,6.9,1.67,0.207
マキノスミレ,41.3,22.5,34.4,6.9,1.84,0.167
マキノスミレ,53,17.4,44.4,8.6,3.05,0.162
マキノスミレ,61.4,26,46.4,15,2.36,0.244
マキノスミレ,62.3,27.5,53.2,9.1,2.27,0.146
マキノスミレ,33.9,17.8,25.3,8.6,1.9,0.254
マキノスミレ,37,20.8,26,11,1.78,0.297
マキノスミレ,38.5,15.9,28.9,9.6,2.42,0.249
マキノスミレ,40.8,19,33.2,7.6,2.15,0.186
マキノスミレ,41.3,18.6,33.3,8,2.22,0.194
マキノスミレ,44.5,17,37.4,7.1,2.62,0.16
マキノスミレ,27.5,12.8,20.7,6.8,2.15,0.247
マキノスミレ,32.7,14.6,24.8,7.9,2.24,0.242
マキノスミレ,32.5,10.2,25.9,6.6,3.19,0.203
マキノスミレ,34.8,11.9,27.7,7.1,2.92,0.204
マキノスミレ,32.9,14.2,28.5,4.4,2.32,0.134
マキノスミレ,34.9,14.8,26.4,8.5,2.36,0.244
マキノスミレ,29,16.3,22.2,6.8,1.78,0.234
マキノスミレ,35.2,18.6,28.2,7,1.89,0.199
マキノスミレ,48.7,20.3,40.5,8.2,2.4,0.168
マキノスミレ,25.3,12,20.5,4.8,2.11,0.19
マキノスミレ,40,18,30.5,9.5,2.22,0.238
マキノスミレ,57.3,29.4,42.4,14.9,1.95,0.26
マキノスミレ,63.8,22.2,49.9,13.9,2.87,0.218
マキノスミレ,59.3,20.4,52.1,7.2,2.91,0.121
マキノスミレ,64.8,27,52.5,12.3,2.4,0.19
マキノスミレ,55.1,22.6,45.1,10,2.44,0.181
マキノスミレ,54.1,20.8,41.7,12.4,2.6,0.229
マキノスミレ,61.1,24.7,49,12.1,2.47,0.198
マキノスミレ,57.3,22.9,47,10.3,2.5,0.18
マキノスミレ,45.5,22.3,33.6,11.9,2.04,0.262
マキノスミレ,76.1,25.9,66.3,9.8,2.94,0.129
マキノスミレ,47.4,17.2,38.2,9.2,2.76,0.194
マキノスミレ,40.1,16,34.2,5.9,2.51,0.147
マキノスミレ,56.4,17.2,50.3,6.1,3.28,0.108
マキノスミレ,43.6,19.7,36,7.6,2.21,0.174
マキノスミレ,50.6,17.8,45.4,5.2,2.84,0.103
マキノスミレ,51.5,19.2,41.5,10,2.68,0.194
マキノスミレ,34.9,16.2,28,6.9,2.15,0.198
マキノスミレ,33.1,12.5,28.2,4.9,2.65,0.148
マキノスミレ,31.1,12,25.1,6,2.59,0.193
マキノスミレ,26.2,12.7,20.1,6.1,2.06,0.233
マキノスミレ,24.2,10.4,19.1,5.1,2.33,0.211
マキノスミレ,35.3,13.3,29.1,6.2,2.65,0.176
マキノスミレ,29.2,11.2,24.3,4.9,2.61,0.168
マキノスミレ,21.1,11,17.1,4,1.92,0.19
マキノスミレ,26.7,16.3,19.5,7.2,1.64,0.27
マキノスミレ,27.2,16.5,21.1,6.1,1.65,0.224
マキノスミレ,27.9,12.2,22,5.9,2.29,0.211
マキノスミレ,31.3,19.8,22,9.3,1.58,0.297
マキノスミレ,31,11.9,27.1,3.9,2.61,0.126
マキノスミレ,31.8,15.5,25.8,6,2.05,0.189
マキノスミレ,36.8,14.6,31.8,5,2.52,0.136
マキノスミレ,66.1,25.5,57,9.1,2.59,0.138
マキノスミレ,76.2,32.4,66.5,9.7,2.35,0.127
マキノスミレ,31.3,22.5,22.5,8.8,1.39,0.281
マキノスミレ,30,17.2,25.7,4.3,1.74,0.143
マキノスミレ,37.6,14.2,31.4,6.2,2.65,0.165
マキノスミレ,40.1,19.3,31.8,8.3,2.08,0.207
マキノスミレ,39.2,16.1,32,7.2,2.43,0.184
マキノスミレ,36.8,21.7,27.1,9.7,1.7,0.264
マキノスミレ,41.5,24.1,34.1,7.4,1.72,0.178
マキノスミレ,43,20.8,34,9,2.07,0.209
マキノスミレ,49.1,24.8,37.7,11.4,1.98,0.232
マキノスミレ,42.1,26.2,35.2,6.9,1.61,0.164
マキノスミレ,28.8,9.5,23.9,4.9,3.03,0.17
マキノスミレ,35.9,11.3,29.1,6.8,3.18,0.189
マキノスミレ,35.8,11.2,27.1,8.7,3.2,0.243
マキノスミレ,28.9,9.6,24.3,4.6,3.01,0.159
マキノスミレ,21.8,8.8,15.2,6.6,2.48,0.303
マキノスミレ,26.8,11.5,20,6.8,2.33,0.254
マキノスミレ,40.6,18.1,32.1,8.5,2.24,0.209
マキノスミレ,58.3,19.1,44.3,14,3.05,0.24
マキノスミレ,49,19.1,37.7,11.3,2.57,0.231
マキノスミレ,46.9,17.2,37.7,9.2,2.73,0.196
マキノスミレ,37.7,17.9,28,9.7,2.11,0.257
マキノスミレ,42.2,17.7,33.3,8.9,2.38,0.211
マキノスミレ,31.1,13,24.8,6.3,2.39,0.203
マキノスミレ,30.1,14.2,23.2,6.9,2.12,0.229
マキノスミレ,29.4,13.7,21.7,7.7,2.15,0.262
マキノスミレ,43.8,17.8,35.4,8.4,2.46,0.192
マキノスミレ,42.3,18.4,30.6,11.7,2.3,0.277
マキノスミレ,50.3,18.4,40.5,9.8,2.73,0.195
マキノスミレ,35.9,16.1,28.6,7.3,2.23,0.203
マキノスミレ,50.9,19.6,41.6,9.3,2.6,0.183
マキノスミレ,47.4,18.5,38.1,9.3,2.56,0.196
マキノスミレ,66.5,26.1,52.4,14.1,2.55,0.212
マキノスミレ,52.6,24.7,41.7,10.9,2.13,0.207
マキノスミレ,69.8,22.2,56.5,13.3,3.14,0.191
マキノスミレ,60.6,20.8,49.4,11.2,2.91,0.185
マキノスミレ,71.1,24.1,56.8,14.3,2.95,0.201
マキノスミレ,61.8,19.6,51.1,10.7,3.15,0.173
マキノスミレ,68.3,24.8,53.4,14.9,2.75,0.218
マキノスミレ,45.2,15.5,36.3,8.9,2.92,0.197
マキノスミレ,80.6,20,67.6,13,4.03,0.161
マキノスミレ,61.5,18.2,50.9,10.6,3.38,0.172
マキノスミレ,80.1,29.2,66.1,14,2.74,0.175
マキノスミレ,62.4,22.2,51.8,10.6,2.81,0.17
マキノスミレ,81.8,27.5,62,19.8,2.97,0.242
マキノスミレ,69.5,25.7,56.2,13.3,2.7,0.191
マキノスミレ,94.3,24.2,77.3,17,3.9,0.18
マキノスミレ,59,25,43.8,15.2,2.36,0.258
マキノスミレ,94,33.1,73.9,20.1,2.84,0.214
マキノスミレ,80.5,24.5,65.7,14.8,3.29,0.184
マキノスミレ,95.6,37.1,80.2,15.4,2.58,0.161
マキノスミレ,60.3,22.7,46.3,14,2.66,0.232
マキノスミレ,94.5,41.2,75.7,18.8,2.29,0.199
マキノスミレ,68.6,32.8,52.4,16.2,2.09,0.236
マキノスミレ,57.7,28.3,44.1,13.6,2.04,0.235
マキノスミレ,70.9,33.8,56,15,2.1,0.211
マキノスミレ,82.3,35.5,63.5,18.8,2.32,0.229
マキノスミレ,74.5,36.9,54.3,20.2,2.02,0.271
マキノスミレ,93.9,44.4,74.1,19.9,2.12,0.212
フモトスミレ,21.6,17,16,5.6,1.26,0.259
フモトスミレ,24,17.6,15.6,8.4,1.36,0.351
フモトスミレ,30,22.4,20.3,9.7,1.34,0.322
フモトスミレ,33.2,23.8,21.9,11.3,1.39,0.339
フモトスミレ,28.6,19.4,21.3,7.2,1.47,0.253
フモトスミレ,28.9,19.9,19.2,9.8,1.45,0.337
フモトスミレ,30.8,19.6,19.6,11.2,1.57,0.363
フモトスミレ,31.7,20.7,22.8,8.9,1.52,0.281
フモトスミレ,50.4,24.6,32.4,18,2.04,0.356
フモトスミレ,25.1,18.7,15.9,9.2,1.33,0.367
フモトスミレ,35.6,24.3,24.8,10.8,1.46,0.303
フモトスミレ,40.2,23,26.7,13.5,1.74,0.335
フモトスミレ,42.9,24.1,30,12.9,1.77,0.299
フモトスミレ,45.2,30,30.7,14.6,1.5,0.322
フモトスミレ,37.7,25.6,27.9,9.8,1.47,0.26
フモトスミレ,37.4,24,27.3,10.2,1.55,0.271
フモトスミレ,33.8,26.8,23,10.8,1.26,0.318
フモトスミレ,32.5,25.3,23,9.5,1.28,0.292
フモトスミレ,30.3,20.5,18.3,12,1.47,0.396
フモトスミレ,31.8,21.3,24,7.7,1.49,0.244
フモトスミレ,28.3,20,18,10.2,1.41,0.362
フモトスミレ,28.3,19.5,21,7.2,1.44,0.256
フモトスミレ,24.5,17.5,17.5,7,1.39,0.285
フモトスミレ,23.8,19.8,14.5,9.2,1.2,0.389
フモトスミレ,21.5,18.5,15.3,6.2,1.16,0.29
フモトスミレ,14.3,13.3,10.3,4,1.07,0.28
フモトスミレ,30,17.8,21.5,8.5,1.68,0.284
フモトスミレ,30,20,19.8,10.3,1.5,0.341
フモトスミレ,30.2,19.8,21.5,8.8,1.53,0.29
フモトスミレ,25.8,18.9,16.9,8.9,1.36,0.343
フモトスミレ,27.9,19,18.1,9.8,1.46,0.352
フモトスミレ,28.1,18.4,17.6,10.5,1.52,0.373
フモトスミレ,22.3,14.7,15,7.3,1.51,0.326
フモトスミレ,23.2,18.4,16.3,6.9,1.26,0.298
フモトスミレ,19.7,14.5,12.6,7.1,1.35,0.36
フモトスミレ,20.6,15.3,15.3,5.3,1.34,0.257
フモトスミレ,19.5,14.5,12.9,6.7,1.34,0.341
フモトスミレ,20.5,15.5,15.5,5,1.32,0.244
フモトスミレ,19.8,16.6,15.4,4.4,1.19,0.222
フモトスミレ,21,12.9,14.6,6.3,1.62,0.302
フモトスミレ,17.1,14.6,11.2,5.9,1.16,0.342
フモトスミレ,31.3,22.5,21,10.3,1.39,0.329
フモトスミレ,31.5,27.5,22.3,9.2,1.14,0.291
フモトスミレ,25.8,18.2,19.5,6.3,1.42,0.245
フモトスミレ,26.3,19.2,19.2,7.2,1.37,0.272
フモトスミレ,24.8,20,18,6.8,1.24,0.275
フモトスミレ,22.2,14,16.3,5.8,1.58,0.263
フモトスミレ,23.3,13.8,17.2,6.2,1.68,0.264
フモトスミレ,38.1,30.5,26.3,11.9,1.25,0.311
フモトスミレ,34.1,27.5,23.4,10.7,1.24,0.313
フモトスミレ,32.7,26.1,21.9,10.8,1.25,0.331
フモトスミレ,32.4,22.5,23.7,8.6,1.43,0.267
フモトスミレ,30.3,23.1,19.8,10.5,1.31,0.346
フモトスミレ,29.5,20.5,23.1,6.4,1.43,0.218
フモトスミレ,25.3,19,17.8,7.5,1.33,0.295
